Lfd.-Nr.:;Objektname;BNr.:;Sorte botanisch;Objekt_Nr;Objektname_Zusatz;Baumrevier;Produkt;Sorte deutsch;örtlicher Bezug;HausNr.:;Hausnr Zusatz;Hochwert;Rechtswert;Status Baumstandort;Schadstufe;Pflegekategorie;Datum_Erfassung;Bemerkung;Pflanzjahr;Standalter;Stammanzahl;Stammumfang;Stammdurchmesser;Pflegestufe;letzte_Kontrolle_am;nächste_Regelkontrolle;letzte_Kontrolle_von;Fälldatum;Fällgrund;Baumscheibenfläche;Baumhöhe;Kronendurchmesser;Baumscheibenbreite;Baumscheibenlänge;Baumscheibenradius;Baumscheibenoberfläche;Unterpflanzung;Standort;Einfassung;Wassersack;Giessring
557;Friedenstraße (zw. Landsberger u. Par. Kommune);78;78 Tilia intermedia 'Pallida' (aktiv);FRIEMIT;;02.05. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;ggü Nr. 80 Friedhof;;;5819886.593;394170.5821;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;08.09.2008;;2006;14;1;45;14;2 Pflegestufe 2 (Standard);13.03.2019;11.03.2020;Baier Jana;;;;10;6;;;;;;offenes Gelände;;FALSCH;FALSCH
558;Friedenstraße (zw. Landsberger u. Par. Kommune);79;79 Tilia intermedia 'Pallida' (aktiv);FRIEMIT;;02.05. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;ggü Nr. 80 Friedhof;;;5819892.551;394165.0216;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;08.09.2008;;2006;14;1;47;15;2 Pflegestufe 2 (Standard);13.03.2019;11.03.2020;Baier Jana;;;;11;6;;;;;;offenes Gelände;;FALSCH;FALSCH
559;Friedenstraße (zw. Landsberger u. Par. Kommune);8;8 Tilia intermedia 'Pallida' (aktiv);FRIEMIT;;02.05. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;ggü Nr. 35;;;5820270.135;393809.1493;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;05.09.2008;;2007;13;1;45;14;2 Pflegestufe 2 (Standard);13.03.2019;11.03.2020;Baier Jana;;;;10;7;;;;;;;;FALSCH;FALSCH
560;Friedenstraße (zw. Landsberger u. Par. Kommune);80;80 Tilia intermedia 'Pallida' (aktiv);FRIEMIT;;02.05. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;ggü Nr. 80 Friedhof;;;5819898.641;394159.7258;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;08.09.2008;;2006;14;1;51;16;2 Pflegestufe 2 (Standard);13.03.2019;11.03.2020;Baier Jana;;;;12;6;;;;;;offenes Gelände;;FALSCH;FALSCH
561;Friedenstraße (zw. Landsberger u. Par. Kommune);81;81 Tilia intermedia 'Pallida' (aktiv);FRIEMIT;;02.05. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;ggü Nr. 80 Friedhof;;;5819904.334;394154.4301;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;08.09.2008;;2006;14;1;50;16;2 Pflegestufe 2 (Standard);13.03.2019;11.03.2020;Baier Jana;;;;9;5;;;;;;offenes Gelände;;FALSCH;FALSCH
562;Friedenstraße (zw. Landsberger u. Par. Kommune);82;82 Tilia intermedia 'Pallida' (aktiv);FRIEMIT;;02.05. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;ggü Nr. 81 Friedhof;;;5819910.291;394149.2668;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;08.09.2008;;2006;14;1;42;13;2 Pflegestufe 2 (Standard);13.03.2019;11.03.2020;Baier Jana;;;;10;5;;;;;;offenes Gelände;;FALSCH;FALSCH
563;Friedenstraße (zw. Landsberger u. Par. Kommune);83;83 Tilia intermedia 'Pallida' (aktiv);FRIEMIT;;02.05. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;ggü Nr. 81 Friedhof;;;5819916.911;394143.7063;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;08.09.2008;;2006;14;1;48;15;2 Pflegestufe 2 (Standard);13.03.2019;11.03.2020;Baier Jana;;;;11;6;;;;;;offenes Gelände;;FALSCH;FALSCH
564;Friedenstraße (zw. Landsberger u. Par. Kommune);84;84 Tilia intermedia 'Pallida' (aktiv);FRIEMIT;;02.05. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;ggü Nr. 81 Friedhof;;;5819922.472;394137.7486;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;08.09.2008;;2006;14;1;43;14;2 Pflegestufe 2 (Standard);13.03.2019;11.03.2020;Baier Jana;;;;10;6;;;;;;offenes Gelände;;FALSCH;FALSCH
565;Friedenstraße (zw. Landsberger u. Par. Kommune);85;85 Tilia intermedia 'Pallida' (aktiv);FRIEMIT;;02.05. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;ggü Nr. 81 Friedhof;;;5819928.297;394132.3205;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;08.09.2008;;2006;14;1;50;16;2 Pflegestufe 2 (Standard);13.03.2019;11.03.2020;Baier Jana;;;;10;6;;;;;;offenes Gelände;;FALSCH;FALSCH
566;Friedenstraße (zw. Landsberger u. Par. Kommune);86;86 Tilia intermedia 'Pallida' (aktiv);FRIEMIT;;02.05. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;ggü Nr. 81 Friedhof;;;5819934.387;394126.8924;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;08.09.2008;;2006;14;1;47;15;2 Pflegestufe 2 (Standard);13.03.2019;11.03.2020;Baier Jana;;;;10;6;;;;;;offenes Gelände;;FALSCH;FALSCH
567;Friedenstraße (zw. Landsberger u. Par. Kommune);87;87 Tilia intermedia 'Pallida' (aktiv);FRIEMIT;;02.05. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;ggü Nr. 81 Friedhof;;;5819940.212;394121.9939;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;08.09.2008;;2006;14;1;48;15;2 Pflegestufe 2 (Standard);13.03.2019;11.03.2020;Baier Jana;;;;10;6;;;;;;offenes Gelände;;FALSCH;FALSCH
568;Friedenstraße (zw. Landsberger u. Par. Kommune);88;88 Tilia intermedia 'Pallida' (aktiv);FRIEMIT;;02.05. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;ggü Nr. 81 Friedhof;;;5819945.905;394115.9038;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;08.09.2008;;2006;14;1;49;16;2 Pflegestufe 2 (Standard);13.03.2019;11.03.2020;Baier Jana;;;;10;6;;;;;;offenes Gelände;;FALSCH;FALSCH
569;Friedenstraße (zw. Landsberger u. Par. Kommune);89;89 Tilia intermedia 'Pallida' (aktiv);FRIEMIT;;02.05. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;ggü Nr. 81 Friedhof;;;5819952.128;394110.7405;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;08.09.2008;;2006;14;1;49;16;2 Pflegestufe 2 (Standard);13.03.2019;11.03.2020;Baier Jana;;;;11;6;;;;;;offenes Gelände;;FALSCH;FALSCH
570;Friedenstraße (zw. Landsberger u. Par. Kommune);9;9 Tilia intermedia 'Pallida' (aktiv);FRIEMIT;;02.05. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;ggü Nr. 36;;;5820263.913;393814.3127;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;05.09.2008;;2007;13;1;49;16;2 Pflegestufe 2 (Standard);13.03.2019;11.03.2020;Baier Jana;;;;10;8;;;;;;offenes Gelände;;FALSCH;FALSCH
571;Friedenstraße (zw. Landsberger u. Par. Kommune);90;90 Tilia intermedia 'Pallida' (aktiv);FRIEMIT;;02.05. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;ggü Nr. 81 Friedhof;;;5819957.556;394105.5771;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;08.09.2008;;2006;14;1;43;14;2 Pflegestufe 2 (Standard);13.03.2019;11.03.2020;Baier Jana;;;;10;6;;;;;;offenes Gelände;;FALSCH;FALSCH
572;Friedenstraße (zw. Landsberger u. Par. Kommune);91;91 Tilia intermedia 'Pallida' (aktiv);FRIEMIT;;02.05. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;ggü Nr. 81 Friedhof;;;5819963.513;394100.2814;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;08.09.2008;;2006;14;1;43;14;2 Pflegestufe 2 (Standard);13.03.2019;11.03.2020;Baier Jana;;;;10;6;;;;;;offenes Gelände;;FALSCH;FALSCH
573;Friedenstraße (zw. Landsberger u. Par. Kommune);92;92 Tilia intermedia 'Pallida' (aktiv);FRIEMIT;;02.05. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;ggü Nr. 81 Friedhof;;;5819969.471;394094.1913;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;08.09.2008;;2006;14;1;44;14;2 Pflegestufe 2 (Standard);13.03.2019;11.03.2020;Baier Jana;;;;11;6;;;;;;offenes Gelände;;FALSCH;FALSCH
574;Friedenstraße (zw. Landsberger u. Par. Kommune);93;93 Tilia intermedia 'Pallida' (aktiv);FRIEMIT;;02.05. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;ggü Nr. 81 Friedhof;;;5819975.429;394089.2928;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;08.09.2008;;2006;14;1;46;15;2 Pflegestufe 2 (Standard);13.03.2019;11.03.2020;Baier Jana;;;;10;6;;;;;;offenes Gelände;;FALSCH;FALSCH
575;Friedenstraße (zw. Landsberger u. Par. Kommune);94;94 Tilia intermedia 'Pallida' (aktiv);FRIEMIT;;02.05. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;ggü Nr. 81 Friedhof;;;5819981.122;394084.1295;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;08.09.2008;;2006;14;1;43;14;2 Pflegestufe 2 (Standard);13.03.2019;11.03.2020;Baier Jana;;;;11;6;;;;;;offenes Gelände;;FALSCH;FALSCH
576;Friedenstraße (zw. Landsberger u. Par. Kommune);95;95 Tilia intermedia 'Pallida' (aktiv);FRIEMIT;;02.05. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;ggü Nr. 81 Friedhof;;;5819986.815;394078.569;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;08.09.2008;;2006;14;1;45;14;2 Pflegestufe 2 (Standard);13.03.2019;11.03.2020;Baier Jana;;;;10;5;;;;;;offenes Gelände;;FALSCH;FALSCH
577;Friedenstraße (zw. Landsberger u. Par. Kommune);96;96 Tilia intermedia 'Pallida' (aktiv);FRIEMIT;;02.05. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;ggü Nr. 81 Friedhof;;;5819992.905;394072.7437;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;08.09.2008;;2006;14;1;47;15;2 Pflegestufe 2 (Standard);13.03.2019;11.03.2020;Baier Jana;;;;12;6;;;;;;offenes Gelände;;FALSCH;FALSCH
578;Friedenstraße (zw. Landsberger u. Par. Kommune);97;97 Tilia intermedia 'Pallida' (aktiv);FRIEMIT;;02.05. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;ggü Nr. 81 Friedhof;;;5819998.862;394067.5804;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;08.09.2008;;2006;14;1;48;15;2 Pflegestufe 2 (Standard);13.03.2019;11.03.2020;Baier Jana;;;;12;6;;;;;;offenes Gelände;;FALSCH;FALSCH
579;Friedenstraße (zw. Landsberger u. Par. Kommune);98;98 Tilia intermedia 'Pallida' (aktiv);FRIEMIT;;02.05. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;ggü Nr. 81 Friedhof;;;5820004.026;394062.8142;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;08.09.2008;;2007;13;1;43;14;2 Pflegestufe 2 (Standard);13.03.2019;11.03.2020;Baier Jana;;;;11;5;;;;;;offenes Gelände;;FALSCH;FALSCH
580;Friedenstraße (zw. Landsberger u. Par. Kommune);99;99 Tilia intermedia 'Pallida' (aktiv);FRIEMIT;;02.05. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Kaiser-Linde;ggü Nr. 81 Friedhof;;;5820010.778;394057.1213;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;08.09.2008;;2007;13;1;42;13;2 Pflegestufe 2 (Standard);13.03.2019;11.03.2020;Baier Jana;;;;10;6;;;;;;offenes Gelände;;FALSCH;FALSCH
581;Gärtnerstraße;1;1 Prunus avium (aktiv);GÄRTNERS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Süss-Kirsche.Vogel-Kirsche;Nr. 5. Ecke Wühlischstraße;5;;5818784.264;395496.0295;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;19.12.00;;1999;21;1;64;20;2 Pflegestufe 2 (Standard);29.04.19;27.04.20;Lubitz Rüdiger;;18 abgestorben;4;7;5;;;;Wegedecke versiegelt;;Baumscheibe;;FALSCH;FALSCH
582;Gärtnerstraße;2;2 Tilia intermedia (aktiv);GÄRTNERS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Holländische Linde;Nr. 5;5;;5818796.763;395499.9245;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;02.06.93;"02.06.1993 Wurzelraum beeinträchtigt: Wurzelraum ist durch Versiegelung beein-
02.06.1993 Gefahr im Verkehrsraumprofil: Gefahr im Verkehrsraumprofil Gehweg und
02.06.1993 Wurzelraum beeinträchtigt: trächtigt.
02.06.1993 Gefahr im Verkehrsraumprofil: Straße.";1959;61;1;131;42;2 Pflegestufe 2 (Standard);29.04.19;27.04.20;Lubitz Rüdiger;;;4;12;8;;;;Wegedecke versiegelt;;;;FALSCH;FALSCH
583;Gärtnerstraße;3;3 Acer pseudoplatanus (aktiv);GÄRTNERS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Berg-Ahorn. Weiss-Ahorn;Nr. 6;6;;5818809.761;395504.1526;aktiv;3 stark geschädigt / Schädigungsgrad 26- 60%;1210 Straßenbaum;02.06.93;"02.06.1993 Wurzelraum beeinträchtigt: Wurzelraum ist durch Versiegelung beein-
02.06.1993 Gasmeßdatum: Die Baumuntersuchung ergab eine terre-
02.06.1993 Gasmeßdatum: strische Schadstufe zwischen 3 und 4. Es
02.06.1993 Wurzelraum beeinträchtigt: trächtigt.
02.06.1993 Gasmeßdatum: wurde der Wert 3 eingetragen.
20.10.2010 Notiz: Gutachtenergebnis vom 9.9.10 von Andreas Wüstenhagen: durch regelmäßiges Einkürzen der Krone Höhe von 14 - 16 m halten. am Stammfuß keine größere Ausbreitung der Fäulnis. Restlebenserwartung mind. 10 - 15 Jahre. wahrsch. deutlich länger";1954;66;1;142;45;2 Pflegestufe 2 (Standard);29.04.19;27.04.20;Lubitz Rüdiger;;18 abgestorben;4;12;9;;;;Wegedecke versiegelt;;;;FALSCH;FALSCH
584;Gärtnerstraße;8;8 Quercus frainetto (aktiv);GÄRTNERS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Ungarische Eiche;;14;;5818966.6;395554.5904;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;29.04.19;;2019;1;1;20;6;2 Pflegestufe 2 (Standard);29.04.19;27.04.20;Lubitz Rüdiger;;;4.5;4;1;1.5;3;;offener Boden;;;Kantenstein;FALSCH;FALSCH
585;Gärtnerstraße;11;11 Sorbus aucuparia (aktiv);GÄRTNERS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Vogelbeere;Nr. 18;18;;5819054.614;395582.8096;aktiv;5 absterbend bis tot / Schädigungsgrad 91-100%;1210 Straßenbaum;19.12.00;;1997;23;1;64;20;2 Pflegestufe 2 (Standard);29.04.19;27.04.20;Lubitz Rüdiger;;18 abgestorben;3.4;7;5;;;;Wegedecke versiegelt;;Baumscheibe;;FALSCH;FALSCH
586;Gärtnerstraße;17;17 Corylus colurna (aktiv);GÄRTNERS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Baum-Hasel;Nr. 21;21;;5819080.84;395577.739;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;30.11.10;30.11.2010 Notiz: Entwicklungspflege Fa bis September 2011;2010;10;1;20;6;2 Pflegestufe 2 (Standard);29.04.19;27.04.20;Lubitz Rüdiger;;;;3;1.5;;;;;;;;;
587;Gärtnerstraße;19;19 Tilia intermedia (aktiv);GÄRTNERS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Holländische Linde;am Boxhagener Platz. ggü Nr. 14. Ecke Grünberger Straße;;;5818981.23;395545.8918;aktiv;3 stark geschädigt / Schädigungsgrad 26- 60%;1210 Straßenbaum;02.06.93;"02.06.1993 Wurzelraum beeinträchtigt: Wurzelraum ist durch Versiegelung beein-
02.06.1993 Wurzelraum beeinträchtigt: trächtigt.";1977;43;1;87;28;2 Pflegestufe 2 (Standard);29.04.19;27.04.20;Lubitz Rüdiger;;;1.7;7;7;;;;Wegedecke versiegelt;;;;FALSCH;FALSCH
588;Gärtnerstraße;22;22 Tilia intermedia (aktiv);GÄRTNERS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Holländische Linde;am Boxhagener Platz. ggü Nr. 13;;;5818961.416;395539.3657;aktiv;3 stark geschädigt / Schädigungsgrad 26- 60%;1210 Straßenbaum;02.06.93;"02.06.1993 Wurzelraum beeinträchtigt: Wurzelraum ist durch Versiegelung beein-
02.06.1993 Wurzelraum beeinträchtigt: trächtigt.";1976;44;1;87;28;2 Pflegestufe 2 (Standard);29.04.19;27.04.20;Lubitz Rüdiger;;;1.8;7;6;;;;Wegedecke versiegelt;;;;FALSCH;FALSCH
589;Gärtnerstraße;24;24 Tilia intermedia (aktiv);GÄRTNERS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Holländische Linde;am Boxhagener Platz. ggü Nr. 12;;;5818948.128;395534.884;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;02.06.93;;1964;56;1;118;38;2 Pflegestufe 2 (Standard);29.04.19;27.04.20;Lubitz Rüdiger;;;2;12;8.5;;;;Wegedecke versiegelt;;;;FALSCH;FALSCH
590;Gärtnerstraße;25;25 Tilia intermedia (aktiv);GÄRTNERS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Holländische Linde;am Boxhagener Platz. ggü Nr. 12;;;5818934.84;395531.1885;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;15.08.13;"15.08.2013 Notiz: Stadtbaumkampagne: Pflege bis Okt. 2013
Bewässerung 2020 - Spenderbaum -";2013;7;1;20;6;2 Pflegestufe 2 (Standard);29.04.19;27.04.20;Lubitz Rüdiger;;;2;3;1;;;;;;;;FALSCH;FALSCH
591;Gärtnerstraße;27;27 Prunus padus (aktiv);GÄRTNERS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Trauben-Kirsche;am Boxhagener Platz. ggü Nr. 11;;;5818921.238;395526.4709;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;23.01.15;;2015;5;1;18;6;2 Pflegestufe 2 (Standard);29.04.19;27.04.20;Lubitz Rüdiger;;;2;4;1.5;;;;;;;;;
592;Gärtnerstraße;33;33 Prunus avium (aktiv);GÄRTNERS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Süss-Kirsche.Vogel-Kirsche;Nr. 28;28;;5818823.504;395495.3344;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;19.12.00;;1999;21;1;79;25;2 Pflegestufe 2 (Standard);29.04.19;27.04.20;Lubitz Rüdiger;;18 abgestorben;4;12;5;;;;Wegedecke versiegelt;;Baumscheibe;;FALSCH;FALSCH
593;Gärtnerstraße;34;34 Prunus avium (aktiv);GÄRTNERS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Süss-Kirsche.Vogel-Kirsche;Nr. 29;29;;5818813.282;395491.9535;aktiv;3 stark geschädigt / Schädigungsgrad 26- 60%;1210 Straßenbaum;19.12.00;;1999;21;1;90;29;2 Pflegestufe 2 (Standard);29.04.19;27.04.20;Lubitz Rüdiger;;;4;12;6;;;;Wegedecke versiegelt;;Baumscheibe;;FALSCH;FALSCH
594;Gärtnerstraße;36;36 Prunus avium (aktiv);GÄRTNERS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Süss-Kirsche.Vogel-Kirsche;Nr. 29A. Ecke Wühlischstraße;26A;;5818788.357;395484.0121;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;19.12.00;;1999;21;1;91;29;2 Pflegestufe 2 (Standard);29.04.19;27.04.20;Lubitz Rüdiger;;;4;7;6;;;;Wegedecke versiegelt;;Baumscheibe;;FALSCH;FALSCH
595;Gärtnerstraße;37;37 Prunus avium (aktiv);GÄRTNERS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Süss-Kirsche.Vogel-Kirsche;Nr. 30. Ecke Wühlischstraße;30;;5818748.257;395471.1958;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;19.12.00;;1999;21;1;60;19;2 Pflegestufe 2 (Standard);29.04.19;27.04.20;Lubitz Rüdiger;;;4;7;5;;;;;;Baumscheibe;;FALSCH;FALSCH
596;Gärtnerstraße;38;38 Prunus avium (aktiv);GÄRTNERS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Süss-Kirsche.Vogel-Kirsche;Nr. 31;31;;5818735.992;395467.4217;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;19.12.00;;1999;21;1;60;19;2 Pflegestufe 2 (Standard);29.04.19;27.04.20;Lubitz Rüdiger;;;4;7;3;;;;Wegedecke versiegelt;;Baumscheibe;;FALSCH;FALSCH
597;Gärtnerstraße;39;39 Prunus avium (aktiv);GÄRTNERS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Süss-Kirsche.Vogel-Kirsche;Nr. 32;32;;5818726.871;395464.5911;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;19.12.00;;1999;21;1;70;22;2 Pflegestufe 2 (Standard);29.04.19;27.04.20;Lubitz Rüdiger;;;4;7;4;;;;Wegedecke versiegelt;;Baumscheibe;;FALSCH;FALSCH
598;Gärtnerstraße;46;46 Quercus frainetto (aktiv);GÄRTNERS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Ungarische Eiche;;3;;5818722.186;395476.3402;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;29.04.19;;2019;1;1;20;6;2 Pflegestufe 2 (Standard);29.04.19;27.04.20;Lubitz Rüdiger;;;4;4;1;1;4;;offener Boden;;;Kantenstein;FALSCH;FALSCH
599;Gärtnerstraße;47;47 Quercus frainetto (aktiv);GÄRTNERS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Ungarische Eiche;;4;;5818731.399;395479.2504;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;29.04.19;;2019;1;1;20;6;2 Pflegestufe 2 (Standard);29.04.19;27.04.20;Lubitz Rüdiger;;;4;4;1;1;4;;offener Boden;;;Kantenstein;FALSCH;FALSCH
600;Gärtnerstraße;29. Jan;29/1 Sorbus aucuparia 'Fastigiata' (aktiv);GÄRTNERS;;05.22. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Säulen-Eberesche;Nr. 25;25;;5818874.612;395512.0821;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;14.01.08;;2007;13;1;29;9;2 Pflegestufe 2 (Standard);29.04.19;27.04.20;Lubitz Rüdiger;;;3;3;1.2;;;;Wegedecke versiegelt;;Baumscheibe;;FALSCH;FALSCH
601;Glasbläserallee;1;1 Acer platanoides (aktiv);8747;;05.21. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Spitz-Ahorn;/fischzug;;;5817474.054;396057.3264;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;06.01.10;"27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2009;11;1;25;8;2 Pflegestufe 2 (Standard);27.01.20;25.01.21;BeckerM Martin;;;;5;2;;;;;;;;FALSCH;FALSCH
602;Glasbläserallee;2;2 Acer platanoides (aktiv);8747;;05.21. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Spitz-Ahorn;hnr. 22;;;5817529.677;396086.7086;aktiv;2 geschädigt / Schädigungsgrad 11- 25%;1210 Straßenbaum;06.01.10;"27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2009;11;1;38;12;2 Pflegestufe 2 (Standard);27.01.20;25.01.21;BeckerM Martin;;;;5;3;;;;;;;;FALSCH;FALSCH
603;Glasbläserallee;3;3 Acer platanoides (aktiv);8747;;05.21. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Spitz-Ahorn;hnr. 28;;;5817539.21;396092.8034;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;06.01.10;"27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2009;11;1;44;14;2 Pflegestufe 2 (Standard);27.01.20;25.01.21;BeckerM Martin;;;;6;4;;;;;;;;FALSCH;FALSCH
604;Glasbläserallee;4;4 Acer platanoides (aktiv);8747;;05.21. Baumrevier;64951 Pflege u. Unterh. von Straßenbäumen;Spitz-Ahorn;hnr. 32;;;5817548.772;396097.3429;aktiv;1 gesund / Schädigungsgrad 0 - 10%;1210 Straßenbaum;06.01.10;"27.03.2012 Notiz: Datenverlust durch Zusammenführung beider Versionen der Datenbank. Betrifft Einträge aus Zeitraum von November 2007 bis Februar 2012.
18.02.2014 Notiz: bei 1559 Bäumen das FKO in F geändert (auch gefällte)";2009;11;1;41;13;2 Pflegestufe 2 (Standard);27.01.20;25.01.21;BeckerM Martin;;;;6;3;;;;;;;;FALSCH;FALSCH
